date,open,high,low,close,volume,symbol,name
2022-02-10 15:00:00,319.29,320.61,318.99,319.3,1503294,BRK.B,Berkshire Hathaway Class B
2022-02-10 11:00:00,320.48,320.77,318.485,319.2,1966779,BRK.B,Berkshire Hathaway Class B
2022-02-09 15:00:00,322.475,322.94,321.68,322,979567,BRK.B,Berkshire Hathaway Class B
2022-02-09 11:00:00,324.84,324.84,321.54,322.44,1134302,BRK.B,Berkshire Hathaway Class B
2022-02-08 15:00:00,320.66,322.39,320.515,322,918182,BRK.B,Berkshire Hathaway Class B
2022-02-08 11:00:00,318.16,322.65,318.16,320.69,1690084,BRK.B,Berkshire Hathaway Class B
2022-02-07 15:00:00,317.395,318.22,315.38,317.99,750937,BRK.B,Berkshire Hathaway Class B
2022-02-07 11:00:00,315.52,317.6999,315.0675,317.4,971002,BRK.B,Berkshire Hathaway Class B
2022-02-04 15:00:00,316.49,317.8387,314.49,314.73,999898,BRK.B,Berkshire Hathaway Class B
2022-02-04 11:00:00,313.52,317.25,312.7,316.49,1186889,BRK.B,Berkshire Hathaway Class B
2022-02-03 15:00:00,315.4895,318,314.61,317,903196,BRK.B,Berkshire Hathaway Class B
2022-02-03 11:00:00,317.975,318.225,315.15,315.49,1233564,BRK.B,Berkshire Hathaway Class B
2022-02-02 15:00:00,319.3701,320.1604,313.96,317.69,1253912,BRK.B,Berkshire Hathaway Class B
2022-02-02 11:00:00,315.845,319.94,315.525,319.3775,1622573,BRK.B,Berkshire Hathaway Class B
2022-02-01 15:00:00,312.08,314.6,312.065,313.27,1601850,BRK.B,Berkshire Hathaway Class B
2022-02-01 11:00:00,312.21,312.6,310.57,312.11,1048567,BRK.B,Berkshire Hathaway Class B
2022-01-31 15:00:00,312.65,313.3,311.42,312.95,1177139,BRK.B,Berkshire Hathaway Class B
2022-01-31 11:00:00,311.09,313.3,310.57,312.66,1557233,BRK.B,Berkshire Hathaway Class B
2022-01-28 15:00:00,309.23,313.2,308.94,313,1469061,BRK.B,Berkshire Hathaway Class B
2022-01-28 11:00:00,306.06,309.81,305.44,309.14,1915089,BRK.B,Berkshire Hathaway Class B
2022-01-27 15:00:00,306.59,310.89,305.3111,310,1229337,BRK.B,Berkshire Hathaway Class B
2022-01-27 11:00:00,314.54,314.81,305.56,306.45,1994625,BRK.B,Berkshire Hathaway Class B
2022-01-26 15:00:00,310.5,310.59,306.57,310.59,1549415,BRK.B,Berkshire Hathaway Class B
2022-01-26 11:00:00,309.14,313.33,308.8001,310.565,2118607,BRK.B,Berkshire Hathaway Class B
2022-01-25 15:00:00,308.93,309.13,304.77,307.98,1193962,BRK.B,Berkshire Hathaway Class B
2022-01-25 11:00:00,300.96,308.95,300.49,308.95,2356721,BRK.B,Berkshire Hathaway Class B
2022-01-24 15:00:00,297.41,304.73,297.23,303.6,1867187,BRK.B,Berkshire Hathaway Class B
2022-01-24 11:00:00,300.805,300.94,296.085,297.35,2968606,BRK.B,Berkshire Hathaway Class B
2022-01-21 15:00:00,306.155,306.41,303.7323,304.51,1709000,BRK.B,Berkshire Hathaway Class B
2022-01-21 11:00:00,309.73,311.02,306.09,306.14,1629786,BRK.B,Berkshire Hathaway Class B
2022-01-20 15:00:00,314.11,314.3187,305.01,309.7,1239884,BRK.B,Berkshire Hathaway Class B
2022-01-20 11:00:00,316.65,316.97,313.66,314.085,1290298,BRK.B,Berkshire Hathaway Class B
2022-01-19 15:00:00,316.84,317.35,313.86,314.02,1890085,BRK.B,Berkshire Hathaway Class B
2022-01-19 11:00:00,317.9,319.96,316.15,316.85,1470610,BRK.B,Berkshire Hathaway Class B
2022-01-18 15:00:00,321.3718,321.5099,319.64,319.64,1187835,BRK.B,Berkshire Hathaway Class B
2022-01-18 11:00:00,320.205,322,318.7601,321.38,1622523,BRK.B,Berkshire Hathaway Class B
2022-01-14 15:00:00,323.04,324.98,322.81,324.98,1173844,BRK.B,Berkshire Hathaway Class B
2022-01-14 11:00:00,321.685,323.62,319.88,322.975,1450033,BRK.B,Berkshire Hathaway Class B
2022-01-13 15:00:00,322.02,322.02,320.1,321.7,1144622,BRK.B,Berkshire Hathaway Class B
2022-01-13 11:00:00,322.81,323.47,321.26,322.02,1442754,BRK.B,Berkshire Hathaway Class B
2022-01-12 15:00:00,320.31,320.97,319.56,320.39,770778,BRK.B,Berkshire Hathaway Class B
2022-01-12 11:00:00,320.29,320.86,318.51,320.29,1035129,BRK.B,Berkshire Hathaway Class B
2022-01-11 15:00:00,318.49,320.04,318.21,319.85,992055,BRK.B,Berkshire Hathaway Class B
2022-01-11 11:00:00,317.625,318.68,316.22,318.455,1335776,BRK.B,Berkshire Hathaway Class B
2022-01-10 15:00:00,318.89,319.19,317.4,319,933756,BRK.B,Berkshire Hathaway Class B
2022-01-10 11:00:00,317.24,318.94,315.12,318.83,1915517,BRK.B,Berkshire Hathaway Class B
2022-01-07 15:00:00,319.6,320.2,319.24,319.53,1248977,BRK.B,Berkshire Hathaway Class B
2022-01-07 11:00:00,318.11,319.72,316.896,319.61,1745742,BRK.B,Berkshire Hathaway Class B
2022-01-06 15:00:00,313.63,314,312.41,314,891173,BRK.B,Berkshire Hathaway Class B
2022-01-06 11:00:00,310.93,313.79,310.22,313.645,1458303,BRK.B,Berkshire Hathaway Class B
2022-01-05 15:00:00,311.21,311.64,309.78,311.25,1291033,BRK.B,Berkshire Hathaway Class B
2022-01-05 11:00:00,313.76,314.48,310.61,311.2499,2064068,BRK.B,Berkshire Hathaway Class B
2022-01-04 15:00:00,308.52,309.21,306.87,308.4,1825973,BRK.B,Berkshire Hathaway Class B
2022-01-04 11:00:00,308.12,309.09,306.91,308.53,1986978,BRK.B,Berkshire Hathaway Class B
2022-01-03 15:00:00,300.07,301.27,299.4601,301.19,787992,BRK.B,Berkshire Hathaway Class B
2022-01-03 11:00:00,300.68,300.96,299.325,300.045,1024487,BRK.B,Berkshire Hathaway Class B
2021-12-31 15:00:00,299.82,300.11,298.0401,298.97,761602,BRK.B,Berkshire Hathaway Class B
2021-12-31 11:00:00,300,300.69,299.34,299.81,771854,BRK.B,Berkshire Hathaway Class B
2021-12-30 15:00:00,300.42,300.5307,299.74,299.98,620696,BRK.B,Berkshire Hathaway Class B
2021-12-30 11:00:00,300.71,300.8576,299.93,300.43,829831,BRK.B,Berkshire Hathaway Class B
2021-12-29 15:00:00,299.455,300.65,299.1,299.5,700436,BRK.B,Berkshire Hathaway Class B
2021-12-29 11:00:00,300.4115,300.47,299.36,299.45,819428,BRK.B,Berkshire Hathaway Class B
2021-12-28 15:00:00,298.62,298.7,297.83,298.7,575352,BRK.B,Berkshire Hathaway Class B
2021-12-28 11:00:00,298.9,299.79,298.24,298.604,786638,BRK.B,Berkshire Hathaway Class B
2021-12-27 15:00:00,295.79,296.69,295.65,296.3,568234,BRK.B,Berkshire Hathaway Class B
2021-12-27 11:00:00,295.19,296.09,295.11,295.86,959915,BRK.B,Berkshire Hathaway Class B
2021-12-23 15:00:00,295.15,295.3,294.37,294.37,635354,BRK.B,Berkshire Hathaway Class B
2021-12-23 11:00:00,295.1809,295.37,294.21,295.15,1095670,BRK.B,Berkshire Hathaway Class B
2021-12-22 15:00:00,294.035,294.9399,293.7,294.35,562377,BRK.B,Berkshire Hathaway Class B
2021-12-22 11:00:00,294.41,294.49,293.2264,294.0459,840742,BRK.B,Berkshire Hathaway Class B
2021-12-21 15:00:00,292.96,294.97,292.29,294.2,918399,BRK.B,Berkshire Hathaway Class B
2021-12-21 11:00:00,293.11,295.41,292.575,292.9057,1263711,BRK.B,Berkshire Hathaway Class B
2021-12-20 15:00:00,288.45,290.8,288.02,290.8,1153218,BRK.B,Berkshire Hathaway Class B
2021-12-20 11:00:00,287.73,289.0962,287.59,288.42,1465864,BRK.B,Berkshire Hathaway Class B
2021-12-17 15:00:00,294.49,294.98,293,293.67,1664366,BRK.B,Berkshire Hathaway Class B
2021-12-17 11:00:00,295.19,296.25,292.59,294.475,2000836,BRK.B,Berkshire Hathaway Class B
2021-12-16 15:00:00,299.58,301.34,299.03,299.77,1311835,BRK.B,Berkshire Hathaway Class B
2021-12-16 11:00:00,299.23,301.58,298,299.67,2194324,BRK.B,Berkshire Hathaway Class B
2021-12-15 15:00:00,293.83,295.94,293.53,295.94,1383545,BRK.B,Berkshire Hathaway Class B
2021-12-15 11:00:00,295.635,296.5,293.5,293.87,2189225,BRK.B,Berkshire Hathaway Class B
2021-12-14 15:00:00,295.41,296,294.44,296,1358644,BRK.B,Berkshire Hathaway Class B
2021-12-14 11:00:00,291.86,296.41,291.85,295.41,2507727,BRK.B,Berkshire Hathaway Class B
2021-12-13 15:00:00,290.66,291.05,289.81,290.5,1120502,BRK.B,Berkshire Hathaway Class B
2021-12-13 11:00:00,286.75,291.58,286.71,290.63,2151790,BRK.B,Berkshire Hathaway Class B
2021-12-10 15:00:00,287.54,288.6,287.43,288.02,823857,BRK.B,Berkshire Hathaway Class B
2021-12-10 11:00:00,286.56,287.9899,286.09,287.57,1365012,BRK.B,Berkshire Hathaway Class B
2021-12-09 15:00:00,284.495,284.95,284.25,284.55,817652,BRK.B,Berkshire Hathaway Class B
2021-12-09 11:00:00,282.63,284.92,282.63,284.49,1072517,BRK.B,Berkshire Hathaway Class B
2021-12-08 15:00:00,283.67,284.36,283.4,283.59,753393,BRK.B,Berkshire Hathaway Class B
2021-12-08 11:00:00,282.37,283.99,282.28,283.7,1026029,BRK.B,Berkshire Hathaway Class B
2021-12-07 15:00:00,285.24,285.5,283.96,284.97,1386023,BRK.B,Berkshire Hathaway Class B
2021-12-07 11:00:00,284.7775,285.41,283.96,285.236,1582273,BRK.B,Berkshire Hathaway Class B
2021-12-06 15:00:00,281.38,281.85,280.8607,281.2,1128600,BRK.B,Berkshire Hathaway Class B
